Survey,StationCode,Latitude,Longitude,Region
DJFMP,MS001N,38.05604444,-121.7855639,LowerSacRiver
FMWT,705,38.07925,-121.7618,LowerSacRiver
EDSM,19-27-RV03,38.08124,-121.72995,LowerSacRiver
EDSM,19-30-RV03,38.08125,-121.73127,LowerSacRiver
EDSM,19-13-RV04,38.08146,-121.73141,LowerSacRiver
EDSM,20-11-RV03,38.08164,-121.73202,LowerSacRiver
EDSM,19-10-RV01,38.08197,-121.73166,LowerSacRiver
EDSM,19-13-RV05,38.08215,-121.72227,LowerSacRiver
EDSM,RV53,38.0822,-121.72431,LowerSacRiver
EDSM,20-03-RV01,38.08229,-121.72562,LowerSacRiver
EDSM,20-02-RV03,38.08323,-121.71952,LowerSacRiver
EDSM,19-16-RV02,38.08326,-121.7118,LowerSacRiver
EDSM,20-05-RV04,38.08371,-121.73616,LowerSacRiver
EDSM,18-34-RV01,38.08419,-121.73732,LowerSacRiver
EDSM,19-17-RV02,38.08461,-121.71262,LowerSacRiver
EDSM,18-03-RV01,38.08569,-121.71131,LowerSacRiver
EDSM,19-24-RV02,38.08589,-121.70932,LowerSacRiver
EDSM,20-16-RV03,38.08741,-121.74022,LowerSacRiver
EDSM,20-15-RV02,38.08744,-121.73489,LowerSacRiver
EDSM,20-14-RV03,38.08832,-121.73443,LowerSacRiver
EDSM,19-12-RV02,38.08838,-121.68613,LowerSacRiver
EDSM,19-03-RV02,38.08841,-121.74128,LowerSacRiver
EDSM,17-49-RV02,38.08871,-121.68595,LowerSacRiver
EDSM,20-12-RV03,38.08966,-121.70905,LowerSacRiver
EDSM,19-09-RV04,38.08989,-121.68556,LowerSacRiver
Townet,706,38.09006,-121.739,LowerSacRiver
EDSM,19-04-RV03,38.09018,-121.7406,LowerSacRiver
EDSM,20-13-RV01,38.09023,-121.68494,LowerSacRiver
FMWT,706,38.0903,-121.74,LowerSacRiver
EDSM,RV3,38.09038195,-121.7366907,LowerSacRiver
EDSM,17-50-RV01,38.0906,-121.70671,LowerSacRiver
EDSM,20-07-RV02,38.09096,-121.73636,LowerSacRiver
EDSM,20-04-RV02,38.09123,-121.72907,LowerSacRiver
EDSM,20-18-RV02,38.09131,-121.68537,LowerSacRiver
EDSM,18-29-RV02,38.09143,-121.74145,LowerSacRiver
EDSM,18-35-RV02,38.09174,-121.68489,LowerSacRiver
EDSM,19-31-RV01,38.09258,-121.73958,LowerSacRiver
EDSM,19-26-RV02,38.09282,-121.72612,LowerSacRiver
EDSM,19-17-RV03,38.09299,-121.73442,LowerSacRiver
EDSM,19-28-RV02,38.093,-121.73687,LowerSacRiver
EDSM,19-11-RV05,38.09302,-121.70968,LowerSacRiver
EDSM,RV102,38.09326548,-121.7331453,LowerSacRiver
EDSM,19-05-RV02,38.09357,-121.73005,LowerSacRiver
EDSM,20-09-RV03,38.09364,-121.73221,LowerSacRiver
EDSM,18-20-RV02,38.09367,-121.68585,LowerSacRiver
EDSM,19-29-RV03,38.09388,-121.73471,LowerSacRiver
EDSM,18-10-RV01,38.09391,-121.68634,LowerSacRiver
EDSM,20-16-RV02,38.09408,-121.72513,LowerSacRiver
EDSM,18-20-RV01,38.09531,-121.7316,LowerSacRiver
EDSM,20-01-RV02,38.09531,-121.725,LowerSacRiver
EDSM,18-21-RV02,38.09548,-121.73118,LowerSacRiver
EDSM,20-03-RV02,38.09557,-121.73539,LowerSacRiver
EDSM,20-10-RV03,38.09571,-121.70746,LowerSacRiver
EDSM,18-27-RV02,38.0959,-121.73227,LowerSacRiver
EDSM,19-06-RV02,38.09595,-121.73087,LowerSacRiver
EDSM,18-12-RV01,38.09596,-121.68655,LowerSacRiver
EDSM,19-24-RV01,38.09609,-121.73099,LowerSacRiver
EDSM,20-05-RV05,38.09628,-121.72919,LowerSacRiver
EDSM,19-51-RV04,38.09629,-121.72149,LowerSacRiver
EDSM,19-18-RV02,38.09671,-121.72573,LowerSacRiver
EDSM,19-49-RV01,38.09678,-121.73165,LowerSacRiver
EDSM,18-52-RV04,38.09695,-121.71998,LowerSacRiver
EDSM,20-06-RV04,38.09696,-121.73029,LowerSacRiver
EDSM,17-52-RV01,38.09734,-121.71961,LowerSacRiver
EDSM,20-13-RV03,38.09735,-121.72016,LowerSacRiver
EDSM,19-25-RV02,38.09737,-121.72358,LowerSacRiver
EDSM,19-33-RV03,38.09739,-121.72907,LowerSacRiver
EDSM,19-02-RV02,38.09743,-121.72619,LowerSacRiver
EDSM,19-13-RV02,38.09759,-121.72438,LowerSacRiver
EDSM,19-10-RV03,38.09805,-121.70783,LowerSacRiver
EDSM,18-50-RV04,38.09838,-121.71853,LowerSacRiver
EDSM,17-51-RV02,38.09898,-121.72152,LowerSacRiver
EDSM,19-08-RV03,38.09908,-121.72085,LowerSacRiver
EDSM,17-50-RV02,38.09954,-121.7174,LowerSacRiver
EDSM,19-34-RV02,38.09957,-121.72033,LowerSacRiver
EDSM,19-21-RV04,38.09975,-121.72143,LowerSacRiver
EDSM,19-49-RV02,38.10028,-121.70899,LowerSacRiver
EDSM,18-23-RV01,38.10125,-121.72416,LowerSacRiver
EDSM,19-17-RV04,38.10128,-121.70904,LowerSacRiver
EDSM,19-27-RV02,38.10139,-121.72079,LowerSacRiver
EDSM,18-51-RV02,38.10148,-121.72342,LowerSacRiver
EDSM,18-12-RV02,38.10177,-121.71414,LowerSacRiver
EDSM,19-09-RV02,38.1018,-121.72736,LowerSacRiver
EDSM,19-21-RV02,38.10204,-121.68539,LowerSacRiver
EDSM,18-25-RV01,38.10214,-121.72043,LowerSacRiver
EDSM,RV1,38.10220737,-121.7243691,LowerSacRiver
EDSM,19-53-RV04,38.10222,-121.7228,LowerSacRiver
EDSM,RV52,38.10267,-121.70818,LowerSacRiver
EDSM,18-16-RV01,38.10271,-121.70716,LowerSacRiver
EDSM,20-14-RV01,38.10292,-121.72159,LowerSacRiver
EDSM,19-52-RV01,38.10313,-121.68523,LowerSacRiver
EDSM,19-05-RV03,38.10346,-121.72308,LowerSacRiver
EDSM,19-23-RV02,38.10371,-121.71574,LowerSacRiver
EDSM,18-51-RV04,38.10406,-121.70699,LowerSacRiver
EDSM,19-20-RV04,38.105,-121.72219,LowerSacRiver
EDSM,20-06-RV02,38.10507,-121.70922,LowerSacRiver
EDSM,19-33-RV01,38.1052,-121.70411,LowerSacRiver
EDSM,19-08-RV01,38.10525,-121.70418,LowerSacRiver
EDSM,19-10-RV05,38.1057,-121.70068,LowerSacRiver
EDSM,19-22-RV02,38.10645,-121.71185,LowerSacRiver
EDSM,19-28-RV03,38.10647,-121.71992,LowerSacRiver
EDSM,20-18-RV03,38.10655,-121.70255,LowerSacRiver
EDSM,20-09-RV04,38.10734,-121.68364,LowerSacRiver
EDSM,19-35-RV02,38.10735,-121.71641,LowerSacRiver
EDSM,20-05-RV02,38.10738,-121.71488,LowerSacRiver
EDSM,19-16-RV03,38.10746,-121.7153,LowerSacRiver
EDSM,20-08-RV02,38.108,-121.71485,LowerSacRiver
EDSM,19-03-RV01,38.10833,-121.71444,LowerSacRiver
EDSM,19-06-RV03,38.10833,-121.7078,LowerSacRiver
EDSM,20-14-RV04,38.10835,-121.70783,LowerSacRiver
EDSM,18-03-RV02,38.10844,-121.71352,LowerSacRiver
EDSM,18-33-RV01,38.10886,-121.68336,LowerSacRiver
EDSM,19-15-RV02,38.10921,-121.70232,LowerSacRiver
EDSM,19-04-RV02,38.1094,-121.70611,LowerSacRiver
EDSM,19-07-RV02,38.10948,-121.68254,LowerSacRiver
EDSM,17-52-RV02,38.10955,-121.71229,LowerSacRiver
EDSM,19-03-RV04,38.10957,-121.71441,LowerSacRiver
EDSM,20-11-RV05,38.11002,-121.69281,LowerSacRiver
EDSM,19-11-RV03,38.11057,-121.71181,LowerSacRiver
EDSM,19-23-RV03,38.11107,-121.71061,LowerSacRiver
EDSM,19-24-RV04,38.11108,-121.70344,LowerSacRiver
EDSM,19-51-RV02,38.11117,-121.70176,LowerSacRiver
EDSM,RV104,38.11177446,-121.7008339,LowerSacRiver
EDSM,19-35-RV01,38.11199,-121.68334,LowerSacRiver
EDSM,18-50-RV02,38.11226,-121.70205,LowerSacRiver
Townet,707,38.11226,-121.70601,LowerSacRiver
EDSM,20-04-RV04,38.11257,-121.70297,LowerSacRiver
EDSM,19-50-RV03,38.1128,-121.70044,LowerSacRiver
EDSM,18-24-RV01,38.11283,-121.69905,LowerSacRiver
EDSM,18-52-RV02,38.11283,-121.70189,LowerSacRiver
EDSM,18-34-RV02,38.11292,-121.70682,LowerSacRiver
EDSM,20-17-RV02,38.11302,-121.70983,LowerSacRiver
EDSM,19-12-RV01,38.11311,-121.68828,LowerSacRiver
EDSM,19-32-RV02,38.11315,-121.68812,LowerSacRiver
EDSM,18-32-RV01,38.11354,-121.68998,LowerSacRiver
EDSM,20-16-RV01,38.11393,-121.69778,LowerSacRiver
FMWT,707,38.11397,-121.70797,LowerSacRiver
EDSM,20-14-RV05,38.11414,-121.70851,LowerSacRiver
EDSM,18-14-RV02,38.11449,-121.70268,LowerSacRiver
EDSM,18-30-RV01,38.11476,-121.68211,LowerSacRiver
EDSM,19-01-RV05,38.11514,-121.68593,LowerSacRiver
EDSM,18-52-RV03,38.11532,-121.68282,LowerSacRiver
EDSM,19-13-RV03,38.11534,-121.68691,LowerSacRiver
EDSM,19-50-RV02,38.11571,-121.69814,LowerSacRiver
EDSM,18-22-RV02,38.11664,-121.7052,LowerSacRiver
EDSM,18-19-RV01,38.11668,-121.69851,LowerSacRiver
EDSM,20-15-RV03,38.11734,-121.70428,LowerSacRiver
EDSM,18-49-RV02,38.11755,-121.70703,LowerSacRiver
EDSM,19-51-RV03,38.11767,-121.70626,LowerSacRiver
EDSM,19-11-RV04,38.11904,-121.69411,LowerSacRiver
EDSM,18-28-RV02,38.11949,-121.7024,LowerSacRiver
EDSM,19-14-RV02,38.12024,-121.70395,LowerSacRiver
EDSM,19-10-RV02,38.12047,-121.70171,LowerSacRiver
EDSM,19-24-RV03,38.12084,-121.6943,LowerSacRiver
EDSM,20-17-RV01,38.12099,-121.69857,LowerSacRiver
EDSM,18-31-RV01,38.1212,-121.7025,LowerSacRiver
EDSM,19-29-RV02,38.12221,-121.69968,LowerSacRiver
EDSM,19-21-RV03,38.12252,-121.69751,LowerSacRiver
EDSM,19-10-RV04,38.12279,-121.69535,LowerSacRiver
EDSM,20-04-RV03,38.12449,-121.69159,LowerSacRiver
EDSM,18-49-RV01,38.12476,-121.69338,LowerSacRiver
EDSM,19-24-RV05,38.12524,-121.69922,LowerSacRiver
EDSM,19-03-RV03,38.1257,-121.69057,LowerSacRiver
EDSM,20-03-RV03,38.12584,-121.69851,LowerSacRiver
FMWT,708,38.12608,-121.6967,LowerSacRiver
EDSM,18-33-RV02,38.12791,-121.69521,LowerSacRiver
EDSM,RV103,38.12801788,-121.6917515,LowerSacRiver
EDSM,18-03-SRR01,38.12899,-121.5815,LowerSacRiver
EDSM,RV51,38.12938,-121.69167,LowerSacRiver
EDSM,17-53-SRR01,38.12984,-121.58303,LowerSacRiver
EDSM,18-14-SRR01,38.13015,-121.57893,LowerSacRiver
EDSM,19-34-RV03,38.13033,-121.69718,LowerSacRiver
EDSM,20-17-RV03,38.13042,-121.69135,LowerSacRiver
EDSM,19-20-RV02,38.13112,-121.69111,LowerSacRiver
EDSM,19-07-RV03,38.13123,-121.69102,LowerSacRiver
EDSM,19-30-RV02,38.13126,-121.69088,LowerSacRiver
EDSM,20-18-RV01,38.13131,-121.68917,LowerSacRiver
EDSM,19-31-RV02,38.13162,-121.69335,LowerSacRiver
EDSM,19-08-RV02,38.13195,-121.69314,LowerSacRiver
EDSM,18-49-RV03,38.13205,-121.69482000000001,LowerSacRiver
EDSM,19-01-RV02,38.13213,-121.69731,LowerSacRiver
EDSM,20-10-RV02,38.13223,-121.6923,LowerSacRiver
DJFMP,SR012E,38.13272407,-121.6865463,LowerSacRiver
EDSM,18-30-RV02,38.13343,-121.69238,LowerSacRiver
EDSM,19-13-RV01,38.13348,-121.69225,LowerSacRiver
EDSM,19-06-RV04,38.13368,-121.69142,LowerSacRiver
EDSM,19-27-RV01,38.13399,-121.69154,LowerSacRiver
EDSM,SRR51,38.13433,-121.59285,LowerSacRiver
EDSM,20-09-RV05,38.13555,-121.69464,LowerSacRiver
EDSM,19-51-RV01,38.13625,-121.68974,LowerSacRiver
EDSM,19-52-RV02,38.13633,-121.69082,LowerSacRiver
EDSM,18-29-RV01,38.13644,-121.69465,LowerSacRiver
EDSM,20-11-RV04,38.13774,-121.69388,LowerSacRiver
EDSM,18-19-RV02,38.13791,-121.68807,LowerSacRiver
EDSM,20-07-RV01,38.13877,-121.69308,LowerSacRiver
EDSM,19-15-RV03,38.13905,-121.68707,LowerSacRiver
EDSM,18-09-RV01,38.13923,-121.69264,LowerSacRiver
EDSM,19-09-RV03,38.13927,-121.6917,LowerSacRiver
DJFMP,SR012W,38.1392889,-121.6949056,LowerSacRiver
EDSM,18-27-RV01,38.14011,-121.68958,LowerSacRiver
EDSM,18-17-RV01,38.14054,-121.69418,LowerSacRiver
EDSM,20-01-RV03,38.14146,-121.6893,LowerSacRiver
EDSM,RV101,38.1419732,-121.6874961,LowerSacRiver
EDSM,19-49-RV03,38.14229,-121.69232,LowerSacRiver
EDSM,20-12-RV02,38.14242,-121.6876,LowerSacRiver
EDSM,19-26-RV03,38.14355,-121.69295,LowerSacRiver
EDSM,18-24-RV02,38.14369,-121.68613,LowerSacRiver
EDSM,19-17-RV05,38.14503,-121.6899,LowerSacRiver
EDSM,20-02-RV02,38.14544,-121.69159,LowerSacRiver
EDSM,20-08-RV03,38.14575,-121.6853,LowerSacRiver
EDSM,SRR101,38.14665203,-121.6004648,LowerSacRiver
EDSM,19-21-RV05,38.1478,-121.69121,LowerSacRiver
FMWT,709,38.14787,-121.69048,LowerSacRiver
EDSM,19-11-RV02,38.1484,-121.68652,LowerSacRiver
EDSM,19-33-RV02,38.14842,-121.68374,LowerSacRiver
EDSM,19-18-RV01,38.15029,-121.68749,LowerSacRiver
EDSM,RV2,38.1505961,-121.6837341,LowerSacRiver
EDSM,19-26-RV01,38.15074,-121.68461,LowerSacRiver
EDSM,20-14-RV02,38.15192,-121.6884,LowerSacRiver
EDSM,18-21-RV01,38.15232,-121.68893,LowerSacRiver
EDSM,20-13-RV02,38.15329,-121.68897,LowerSacRiver
EDSM,18-14-RV01,38.15362,-121.68577,LowerSacRiver
EDSM,18-28-RV01,38.15366,-121.68975,LowerSacRiver
EDSM,20-11-RV02,38.15401,-121.68557,LowerSacRiver
EDSM,20-02-RV04,38.15431,-121.68707,LowerSacRiver
EDSM,20-09-RV02,38.15524,-121.68913,LowerSacRiver
EDSM,18-50-RV01,38.15525,-121.68511,LowerSacRiver
EDSM,19-30-RV04,38.1567,-121.6876,LowerSacRiver
EDSM,19-29-RV01,38.15718,-121.68024,LowerSacRiver
EDSM,18-51-RV05,38.15732,-121.68244,LowerSacRiver
EDSM,19-50-RV01,38.15751,-121.68242,LowerSacRiver
EDSM,18-07-RV01,38.15851,-121.68283,LowerSacRiver
EDSM,20-08-RV01,38.15895,-121.68653,LowerSacRiver
EDSM,19-11-RV01,38.15901,-121.67872,LowerSacRiver
EDSM,19-23-RV01,38.15907,-121.68238,LowerSacRiver
EDSM,19-07-RV01,38.15909,-121.68508,LowerSacRiver
EDSM,20-12-RV01,38.15944,-121.68508,LowerSacRiver
EDSM,20-15-RV01,38.15949,-121.68033,LowerSacRiver
EDSM,20-06-RV01,38.15972,-121.68033,LowerSacRiver
EDSM,19-20-RV03,38.1598,-121.68013,LowerSacRiver
EDSM,19-17-RV01,38.16001,-121.68158,LowerSacRiver
EDSM,19-25-RV01,38.16016,-121.68194,LowerSacRiver
EDSM,18-52-RV01,38.1603,-121.67883,LowerSacRiver
EDSM,19-06-RV01,38.16031,-121.67959,LowerSacRiver
EDSM,20-02-RV01,38.16064,-121.68067,LowerSacRiver
EDSM,19-22-RV01,38.16066,-121.67844,LowerSacRiver
EDSM,18-22-RV01,38.1617,-121.67791,LowerSacRiver
FMWT,710,38.162,-121.68228,LowerSacRiver
EDSM,19-05-RV04,38.16213,-121.67885,LowerSacRiver
EDSM,19-14-RV01,38.16224,-121.68,LowerSacRiver
EDSM,19-19-RV01,38.16254,-121.68314,LowerSacRiver
EDSM,18-35-RV01,38.16272,-121.67775,LowerSacRiver
DJFMP,SR017E,38.16272799,-121.6115749,LowerSacRiver
EDSM,20-10-RV01,38.16277,-121.68158,LowerSacRiver
EDSM,18-04-RV01,38.16359,-121.67725,LowerSacRiver
EDSM,18-05-RV01,38.16367,-121.67891,LowerSacRiver
EDSM,19-15-RV01,38.16379,-121.67615,LowerSacRiver
EDSM,19-21-RV01,38.16384,-121.68255,LowerSacRiver
EDSM,19-32-RV01,38.16423,-121.67515,LowerSacRiver
EDSM,19-01-RV01,38.16442,-121.67626,LowerSacRiver
EDSM,18-05-SRR01,38.1645,-121.60542,LowerSacRiver
EDSM,18-15-SRR01,38.16452,-121.62011,LowerSacRiver
EDSM,20-05-RV01,38.16459,-121.67898,LowerSacRiver
EDSM,19-09-RV01,38.16495,-121.67545,LowerSacRiver
EDSM,18-26-RV01,38.16598,-121.67737,LowerSacRiver
EDSM,19-34-RV01,38.16599,-121.68076,LowerSacRiver
EDSM,20-04-RV01,38.16625,-121.67855,LowerSacRiver
EDSM,19-28-RV01,38.16664,-121.67442,LowerSacRiver
EDSM,18-51-RV01,38.16705,-121.67694,LowerSacRiver
EDSM,20-01-RV01,38.16706,-121.67445,LowerSacRiver
EDSM,18-10-SRR01,38.16716,-121.62857,LowerSacRiver
EDSM,19-20-RV01,38.16834,-121.6752,LowerSacRiver
EDSM,19-04-RV01,38.16874,-121.67653,LowerSacRiver
EDSM,20-11-RV01,38.16877,-121.6746,LowerSacRiver
EDSM,19-34-RV04,38.16968,-121.67435,LowerSacRiver
FMWT,717,38.17017,-121.63138,LowerSacRiver
EDSM,17-50-SRR01,38.17072,-121.58069,LowerSacRiver
EDSM,18-20-SRR01,38.17227,-121.64807,LowerSacRiver
EDSM,18-08-SRR01,38.17232,-121.63599,LowerSacRiver
EDSM,19-02-RV01,38.1728,-121.67208,LowerSacRiver
Townet,711,38.17336,-121.669,LowerSacRiver
EDSM,19-05-RV01,38.17403,-121.67095,LowerSacRiver
EDSM,18-25-SRR01,38.17497,-121.59193,LowerSacRiver
EDSM,19-07-RV04,38.1752,-121.66858,LowerSacRiver
EDSM,20-09-RV01,38.17532,-121.67079,LowerSacRiver
EDSM,17-49-RV01,38.17578,-121.66966,LowerSacRiver
EDSM,20-06-RV03,38.17578,-121.66953,LowerSacRiver
FMWT,711,38.17595,-121.67028,LowerSacRiver
EDSM,SRR52,38.17651,-121.66134,LowerSacRiver
EDSM,18-04-SRR01,38.17667,-121.661,LowerSacRiver
EDSM,20-15-RV04,38.17668,-121.66601,LowerSacRiver
EDSM,19-01-RV04,38.1767,-121.66793,LowerSacRiver
EDSM,19-30-RV01,38.17672,-121.66731,LowerSacRiver
EDSM,19-16-RV01,38.17674,-121.66763,LowerSacRiver
EDSM,18-26-RV02,38.17676,-121.66383,LowerSacRiver
EDSM,18-51-RV03,38.17677,-121.6633,LowerSacRiver
EDSM,20-05-RV03,38.1768,-121.66782,LowerSacRiver
EDSM,17-51-RV01,38.17719,-121.66644,LowerSacRiver
EDSM,18-18-RV01,38.17846,-121.66767,LowerSacRiver
EDSM,19-16-LSSC01,38.17945,-121.6638,CacheSloughComplex
EDSM,18-34-LSSC01,38.18003,-121.66308,CacheSloughComplex
EDSM,19-11-LSSC01,38.18029,-121.66533,CacheSloughComplex
EDSM,19-26-LSSC01,38.18033,-121.66597,CacheSloughComplex
EDSM,19-20-LSSC01,38.18046,-121.66598,CacheSloughComplex
EDSM,18-11-CS02,38.18076,-121.66323,CacheSloughComplex
EDSM,19-28-LSSC01,38.18133,-121.66574,CacheSloughComplex
EDSM,20-02-LSSC01,38.18151,-121.6647,CacheSloughComplex
EDSM,19-53-LSSC03,38.18158,-121.66368,CacheSloughComplex
EDSM,19-02-LSSC01,38.18212,-121.66515,CacheSloughComplex
EDSM,20-08-LSSC03,38.18216,-121.66522,CacheSloughComplex
EDSM,19-05-LSSC01,38.18228,-121.6646,CacheSloughComplex
EDSM,19-11-LSSC04,38.18245,-121.66346,CacheSloughComplex
EDSM,19-51-LSSC01,38.1825,-121.66376,CacheSloughComplex
EDSM,18-09-SRR01,38.18253,-121.58665,CacheSloughComplex
EDSM,20-16-LSSC03,38.18323,-121.66236,CacheSloughComplex
EDSM,18-18-SRR01,38.18359,-121.56822,CacheSloughComplex
EDSM,19-13-LSSC01,38.18393,-121.66088,CacheSloughComplex
EDSM,19-32-LSSC02,38.184,-121.66163,CacheSloughComplex
EDSM,20-11-LSSC01,38.18444,-121.66323,CacheSloughComplex
EDSM,19-09-LSSC03,38.18478,-121.66048,CacheSloughComplex
EDSM,19-04-LSSC02,38.18509,-121.66117,CacheSloughComplex
EDSM,CS57,38.18512,-121.66061,CacheSloughComplex
EDSM,18-30-LSSC02,38.1852,-121.6626,CacheSloughComplex
EDSM,18-27-LSSC01,38.18526,-121.65986,CacheSloughComplex
EDSM,19-12-LSSC02,38.18527,-121.66134,CacheSloughComplex
EDSM,19-50-LSSC01,38.18555,-121.66045,CacheSloughComplex
EDSM,20-17-LSSC01,38.18604,-121.66193,CacheSloughComplex
EDSM,19-18-LSSC02,38.18626,-121.66217,CacheSloughComplex
DJFMP,SR014W,38.18651797,-121.6626646,CacheSloughComplex
EDSM,18-11-SRR01,38.18656,-121.56128,CacheSloughComplex
